state,x,y
Acre,-400,140
Alagoas,402,124
Amapa,47,377
Amazonas,-270,246
Argentina,-211,-348
Bahia,266,65
Bolivia,-272,-57
Ceara,326,253
Chile,-353,-210
Colombia,-439,402
Distrito Federal,144,-17
Espirito Santo,310,-95
Goias,81,-36
Guiana,-98,411
Guiana Francesa,24,442
Maranhão,196,239
Mato Grosso,-39,36
Mato Grosso do Sul,-17,-127
Minas Gerais,210,-87
Para,28,235
Paraiba,422,187
Paraguay,-98,-204
Parana,58,-234
Pernambuco,370,157
Peru,-420,45
Piaui,252,168
Rio de Janeiro,270,-178
Rio Grande do Norte,411,217
Rio Grande do Sul,22,-362
Rondonia,-208,94
Roraima,-165,396
Santa Catarina,89,-300
São Paulo,116,-163
Sergipe,387,99
Suriname,-43,438
Tocantins,130,99
Uruguay,-37,-453
Venezuela,-257,467
